symbol,name,exchange,yf_symbol
AKSHARCHEM,AksharChem India Limited,NSE+BSE,AKSHARCHEM.NS
AKSHOPTFBR,Aksh Optifibre Limited,NSE+BSE,AKSHOPTFBR.NS
AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE+BSE,AKUMS.NS
ALANKIT,Alankit Limited,NSE+BSE,ALANKIT.NS
ALANSCOTT,ALAN SCOTT ENTERPRISES LIMITED,BSE,ALANSCOTT.BO
ALBERTDAVD,Albert David Limited,NSE+BSE,ALBERTDAVD.NS
ALEMBICLTD,Alembic Limited,NSE+BSE,ALEMBICLTD.NS
ALEXANDER,Alexander Stamps And Coin Limited,BSE,ALEXANDER.BO
ALFAICA,Alfa Ica (India) Ltd,BSE,ALFAICA.BO
ALFATRAN,Alfa Transformers ltd.,BSE,ALFATRAN.BO
ALFAVIO,Alfavision Overseas (India) Ltd.,BSE,ALFAVIO.BO
ALFL,Abhinav Leasing & Finance Limited,BSE,ALFL.BO
ALFREDHE,Alfred Herbert (India) Ltd.,BSE,ALFREDHE.BO
ALGOQUANT,Algoquant Fintech Limited,NSE+BSE,ALGOQUANT.NS
ALICON,Alicon Castalloy Limited,NSE+BSE,ALICON.NS
ALIVUS,Alivus Life Sciences Limited,NSE+BSE,ALIVUS.NS
ALKALI,Alkali Metals Limited,NSE+BSE,ALKALI.NS
ALKEM,Alkem Laboratories Limited,NSE+BSE,ALKEM.NS
ALKOSIGN,ALKOSIGN LIMITED,BSE,ALKOSIGN.BO
ALKYLAMINE,Alkyl Amines Chemicals Limited,NSE+BSE,ALKYLAMINE.NS
ALLCARGO,Allcargo Logistics Limited,NSE+BSE,ALLCARGO.NS
ALLDIGI,Alldigi Tech Limited,NSE+BSE,ALLDIGI.NS
ALLTIME,All Time Plastics Limited,NSE+BSE,ALLTIME.NS
ALMONDZ,Almondz Global Securities Limited,NSE+BSE,ALMONDZ.NS
ALNATRD,Alna Trading & Exports Ltd.,BSE,ALNATRD.BO
ALOKINDS,Alok Industries Limited,NSE+BSE,ALOKINDS.NS
ALPA,Alpa Laboratories Limited,NSE+BSE,ALPA.NS
ALPHA,Kotak Mahindra Mutual Fund - Permitted,BSE,ALPHA.BO
ALPHAETF,Mirae Asset Mutual Fund,BSE,ALPHAETF.BO
ALPHAGEO,Alphageo (India) Limited,NSE+BSE,ALPHAGEO.NS
ALPHAIND,ALPHALOGIC INDUSTRIES LIMITED,BSE,ALPHAIND.BO
ALPHALOGIC,Alphalogic Techsys Limited,BSE,ALPHALOGIC.BO
